	CNF vs MPNST1	CNF vs MPNST1	CNF vs MPNST1	CNF vs MPNST1		CNF vs MPNST2	CNF vs MPNST2	CNF vs MPNST2	CNF vs MPNST2		CNF vs NF	CNF vs NF	CNF vs NF	CNF vs NF	
SESN3	1.313120991	0.512368536	0.602497826	2543.272846	 	-1.049314798	0.934413814	0.962504428	2944.048514	 	-2.466425044	0.007056604	0.016395223	7401.211759	 
VWA1	1.576127223	0.397113113	0.488662968	2306.402747	 	1.407947374	0.592889616	0.745863696	2306.402747	 	-2.081072075	0.083658214	0.141369185	6158.071652	 
HLA-C	2.387492342	0.000219404	0.000595957	11792.4077	 	-1.900792553	0.093383307	0.227212619	24168.18944	 	-1.761323433	0.003401249	0.008514006	21349.43135	 
PLEC	-2.56453282	7.26E-09	3.89E-08	56133.28293	 	-1.044303699	0.87414749	0.928212565	22650.7111	 	1.711760642	6.20E-05	0.000230342	21559.36911	 
HLA-A	2.265062022	0.000418405	0.001083639	15903.87676	 	-1.579054288	0.22620982	0.413790356	26475.53319	 	-1.357940328	0.107765467	0.174564902	21971.942	 
APP	1.025366365	0.895587817	0.928547127	14163.87336	 	-3.084169846	0.000384317	0.003458422	48024.98842	 	-2.731979959	1.58E-10	1.45E-09	40345.2358	 
CTNNA1	-1.153163192	0.135209695	0.197061686	9858.663427	 	-1.339930658	0.073721078	0.191758083	11499.22223	 	-1.946041299	3.05E-17	6.91E-16	16671.23545	 
EEF2	1.828156347	5.59E-08	2.66E-07	52352.60449	 	-1.288734242	0.181264141	0.35530138	67855.59695	 	1.008459452	0.926830312	0.962692094	52352.60449	 
FOS	2.32304993	0.073627733	0.116167433	6889.008239	 	-1.576510756	0.462958138	0.645266816	14007.92127	 	-3.993524384	0.000234841	0.000770037	33916.07488	 
MDGA1	1.412044239	0.211018049	0.288498827	731.0746889	 	1.58280547	0.294793965	0.489305218	731.0746889	 	2.140480925	0.000769584	0.002258004	731.0746889	 
DKK3	2.122463173	0.015299807	0.028828978	7020.062098	 	1.496404182	0.401680944	0.592900097	7020.062098	 	-1.504948148	0.106380692	0.172707975	11086.27832	 
TGFBI	1.282368778	0.449672812	0.54137774	17145.13935	 	-2.64658226	0.052615263	0.15126464	59429.31419	 	-1.950786129	0.012620553	0.027435063	37599.18639	 
HLA-B	2.923892789	7.11E-05	0.000211886	21997.06818	 	-2.326885827	0.049590052	0.144547653	57769.83921	 	-1.728985694	0.013270235	0.028654781	39256.30678	 
JUN	1.585990624	0.10078205	0.152748788	4309.738175	 	-2.274180656	0.064462638	0.174911431	11537.47373	 	-3.635339198	1.96E-08	1.33E-07	17249.35831	 
TPM4	1.80440054	0.007826149	0.015729924	10593.10857	 	-2.250498726	0.025602898	0.088919428	26350.27353	 	-2.149699035	2.69E-05	0.00010754	23900.79016	 
PMP22	9.135830063	8.99E-26	3.04E-24	12078.11441	 	1.935408451	0.057050072	0.160188934	12078.11441	 	-1.77398896	0.000933314	0.0026916	21113.52028	 
CLIC4	4.621189395	8.50E-19	1.46E-17	12004.7172	 	-1.437856045	0.209580866	0.393659336	17711.06712	 	-2.270946724	8.39E-09	6.02E-08	27755.85244	 
CALR	1.180398335	0.178755651	0.250666275	9865.208054	 	-2.62974778	4.14E-06	9.03E-05	26847.34614	 	-1.777991663	1.59E-08	1.10E-07	17779.25696	 
GSN	7.421200887	4.07E-18	6.50E-17	78705.93811	 	4.13066668	0.000164711	0.001767859	78705.93811	 	-1.278386112	0.195300636	0.285432864	96694.45053	 
HSP90AA1	1.692815895	0.004218127	0.008978067	20468.00109	 	-1.809212444	0.053171505	0.152198973	38626.97768	 	-1.402926615	0.025396378	0.050430046	29090.28449	 
DYNC1H1	-4.6043969	3.18E-21	7.02E-20	50062.82274	 	-1.374121506	0.241952211	0.43172074	14888.65397	 	-1.277163983	0.066099377	0.115648124	13682.29524	 
EGR1	2.168441586	0.055634531	0.090687845	6127.166747	 	-2.288407121	0.150557877	0.312442258	19185.57291	 	-4.281088989	8.39E-06	3.65E-05	31382.43131	 
SOX10	4.047824968	0.029622354	0.051898375	7909.926113	 	1.346695078	0.594397374	0.746980923	7909.926113	 	-1.337847668	0.549746021	0.652932584	7909.926113	 
GAPDH	1.239427405	0.159472168	0.227109432	16045.68376	 	-4.547250091	4.00E-09	3.24E-07	78775.8089	 	-1.395265632	0.008108842	0.018497574	22872.35302	 
TNS3	-1.330135665	0.339549519	0.429874547	10652.18884	 	-1.71956226	0.245318315	0.435569011	14853.75378	 	-1.758425545	0.02068663	0.042315152	14249.39221	 
ITGAV	2.201987905	3.39E-06	1.24E-05	9430.203395	 	1.336524532	0.308608987	0.503630976	9430.203395	 	-1.607610582	0.000695488	0.002060856	15259.8581	 
TNC	-5.128242249	0.000104095	0.000300562	22686.64542	 	-2.326360717	0.151774916	0.314273166	11771.29139	 	-2.016912315	0.03862631	0.072852209	8178.262769	 
MAP4	1.647557119	7.38E-06	2.57E-05	13876.86308	 	1.175150825	0.396440251	0.587938114	13876.86308	 	-1.49033691	1.44E-05	6.03E-05	20753.82893	 
RHOA	2.81171902	6.39E-16	8.14E-15	11018.38186	 	-1.620921328	0.026353894	0.090934121	18193.08152	 	-2.040096516	1.43E-11	1.52E-10	22710.88816	 
MYH9	-1.514650163	0.042932791	0.072187005	21402.71799	 	-1.310924552	0.424046062	0.612960624	18746.40665	 	-1.768700091	0.00072232	0.002132472	25063.76474	 
HLA-DRA	3.199976937	0.058821335	0.095405653	14352.4276	 	-2.035417213	0.246750756	0.437413325	46184.16163	 	-4.143356349	0.002717698	0.006981666	68920.03475	 
SERPINE2	-2.183991907	0.00916067	0.018089053	5559.933076	 	-9.953987822	9.01E-07	2.69E-05	34139.20847	 	-6.174170553	1.03E-13	1.47E-12	16406.46329	 
CANX	1.609174076	3.16E-06	1.16E-05	12142.83924	 	-3.266677842	1.23E-11	2.67E-09	40721.99334	 	-2.446731804	2.62E-26	1.64E-24	30002.75774	 
PLP1	3.395947588	0.032499427	0.056356691	5835.684234	 	1.424797451	0.578680742	0.73558265	5835.684234	 	-3.099352914	0.01137239	0.024986574	22113.36877	 
MMP9	-10.1105547	8.36E-05	0.000245941	4561.498579	 	-3.955382072	0.029605279	0.098894013	2788.881931	 	1.980356172	0.13544047	0.210903922	149.6030088	 
EMP1	4.768608682	6.27E-10	3.83E-09	12400.81061	 	-2.04654682	0.078203196	0.199943081	27417.35084	 	-1.421200161	0.089592252	0.149682337	17757.41067	 
HSPA5	-1.175980014	0.375230596	0.467066562	8417.96257	 	-3.65762999	2.10E-05	0.000333689	28087.609	 	-2.866407081	2.63E-12	3.16E-11	20791.0824	 
COL4A2	-2.245246313	0.00253192	0.005624762	32050.98825	 	-3.173031085	0.006873151	0.032888444	50825.74025	 	-1.526112752	0.053940333	0.097035882	21500.407	 
CRLF1	-1.758052827	0.178659668	0.250594359	1502.517988	 	-2.422938075	0.132166511	0.287442652	2642.62662	 	-1.992318246	0.04139251	0.077190445	1721.968583	 
RHOB	3.372850234	0.000133452	0.000377866	8859.305705	 	-1.059406638	0.906232166	0.947373495	9517.880499	 	-1.621789112	0.062344497	0.109993925	14758.81027	 
LMNA	1.644583065	0.009774087	0.019186551	19721.46849	 	1.170015232	0.623414314	0.768691097	19721.46849	 	1.303466968	0.094427059	0.156363971	19721.46849	 
TENM3	-6.393724314	0.000238437	0.000643186	11482.4522	 	-3.110429158	0.073344805	0.191293733	7480.329113	 	-1.683449261	0.193931973	0.283827171	2478.360862	 
TLN1	-2.491790905	4.93E-12	3.90E-11	19531.28309	 	-1.894290333	0.00443378	0.023292797	15024.00593	 	-2.720703038	4.53E-20	1.45E-18	21338.63345	 
HSPA8	-1.058715287	0.673863304	0.74800072	13975.38437	 	-2.928517068	2.98E-06	6.93E-05	39937.37066	 	-2.119210614	1.90E-11	1.99E-10	28131.00186	 
AEBP1	-1.709026066	0.210794263	0.28826151	15550.61608	 	-3.946497144	0.020862639	0.07644603	53441.25642	 	-1.309918499	0.433284132	0.542016051	11590.28079	 
C1orf198	1.858870013	0.01107279	0.021477713	3311.488032	 	1.52800792	0.283094422	0.476132091	3311.488032	 	-1.692830719	0.008548447	0.019395161	5779.192361	 
EIF4G2	1.021290588	0.891583833	0.925724065	18924.67971	 	-1.748314669	0.032049221	0.104827796	34099.76711	 	-1.491417034	0.001709107	0.004632629	28558.42708	 
PIEZO1	-1.057196802	0.706759398	0.776014252	6238.301042	 	1.564739825	0.073384071	0.191334562	5902.961727	 	1.770520675	2.86E-06	1.35E-05	5902.961727	 
CDH19	5.425770865	0.007781788	0.015650112	19917.29845	 	1.281458894	0.670998266	0.801470795	19917.29845	 	-2.076579896	0.131339139	0.205755679	25975.84824	 
S100B	7.663081315	0.001022894	0.002458424	4692.301649	 	1.331185517	0.638372753	0.780190575	4692.301649	 	-4.181344634	0.002686107	0.00691318	23631.66581	 
TUBA1B	-1.733177417	0.026938623	0.047732901	23865.57136	 	-1.785322042	0.148480296	0.309811157	25773.00974	 	-2.337421134	3.11E-05	0.000122652	32453.99074	 
ITPK1	2.340847914	0.001875675	0.004267142	2972.929381	 	2.349990238	0.049460051	0.144328239	2972.929381	 	-1.88284094	0.004703274	0.011403252	5705.673076	 
HSP90B1	1.191126251	0.203061576	0.279301002	12664.44812	 	-4.211401417	6.74E-10	7.33E-08	56547.46739	 	-2.367813481	2.89E-14	4.39E-13	30606.68529	 
ANXA1	3.87435879	1.60E-12	1.34E-11	19691.65185	 	1.973939885	0.032746919	0.106550757	19691.65185	 	-1.250856506	0.155919127	0.237042737	24410.97645	 
HLA-DRB1	2.158703697	0.203964796	0.280314096	5659.459413	 	-1.952509075	0.282026702	0.475037741	19047.38754	 	-4.326648303	0.001763091	0.004764367	32907.48754	 
TPT1	6.063911833	6.45E-29	2.92E-27	67406.96219	 	-1.267610123	0.382609184	0.575251818	85577.22751	 	-1.145798615	0.306547089	0.411905049	76659.45633	 
CD44	2.374414659	7.42E-07	2.99E-06	13617.63162	 	-1.775234061	0.049577579	0.144541072	24952.32556	 	1.074871952	0.615854903	0.7138569	13617.63162	 
CD63	2.470599961	2.15E-07	9.43E-07	10719.02832	 	-1.572066448	0.121125136	0.271593121	17421.34358	 	-1.631809638	0.000652878	0.001946252	17779.61956	 
L1CAM	5.123806097	0.000519687	0.001320335	10938.13	 	3.083164433	0.069374405	0.183830372	10938.13	 	-1.155319712	0.701131858	0.788047095	10938.13	 
ITGA3	1.417353262	0.130817507	0.19127355	2901.620286	 	1.434568419	0.337718339	0.533677956	2901.620286	 	-1.345951074	0.117049446	0.186992271	4058.372817	 
SDC3	4.238140674	0.000951839	0.002303118	6893.974734	 	-1.039112073	0.949034613	0.971820558	7391.211966	 	-2.241767934	0.021491368	0.043670813	17118.23212	 
GPM6B	6.023326164	0.001963419	0.004447866	18465.38822	 	1.793694775	0.357674456	0.551134237	18465.38822	 	-1.883677146	0.161513557	0.243960172	29393.54367	 
LAMB1	-1.284005034	0.218916077	0.297483194	24064.70313	 	-1.827715149	0.072696738	0.190205144	35591.80396	 	-1.56926891	0.007049221	0.016382597	29518.99131	 
EHBP1	1.342759629	0.109996405	0.164614887	3115.715259	 	1.257167593	0.456755913	0.639732578	3115.715259	 	-2.473280618	2.46E-09	1.90E-08	7871.067537	 
GALNT2	-1.156748744	0.328461835	0.418071713	3949.954769	 	-1.630807242	0.052068689	0.150102676	5663.954067	 	-1.698449829	1.64E-05	6.79E-05	5821.431341	 
FOSB	4.247845792	0.002523531	0.005609427	1268.445604	 	-1.229959803	0.740045996	0.847088457	1844.269428	 	-5.585321754	6.71E-06	2.97E-05	9393.276126	 
DDX5	2.105383933	3.73E-07	1.58E-06	27013.35488	 	1.559520929	0.072797425	0.190325514	27013.35488	 	1.215881993	0.105699237	0.171813614	27013.35488	 
IGFBP4	3.898154717	7.32E-07	2.95E-06	11662.00335	 	-2.249530869	0.063056024	0.172016325	30392.4899	 	-2.547064223	3.19E-05	0.000125561	31933.74855	 
ZNF106	-1.873583252	9.18E-06	3.15E-05	6680.275331	 	-1.763378853	0.017994719	0.068415043	6373.009541	 	-1.938817218	1.45E-08	1.01E-07	6914.531466	 
SRRM2	-1.114890597	0.493761066	0.584622835	32948.86073	 	2.042008929	0.007626377	0.035650618	29852.52528	 	2.243545939	6.95E-10	5.84E-09	29852.52528	 
SQSTM1	-1.022111272	0.903747135	0.935104464	6378.14322	 	-1.880886608	0.036362948	0.115014499	12154.77892	 	-1.5927302	0.001777919	0.00479981	10003.38004	 
ANXA5	1.965790488	6.11E-07	2.50E-06	8003.04384	 	-2.282138541	0.000331058	0.003059326	18919.02439	 	-2.306416275	7.73E-14	1.12E-12	18766.98698	 
CALU	1.136366013	0.535488518	0.623581069	5194.252032	 	-4.147816569	2.93E-05	0.000431997	24873.69471	 	-2.380936515	3.16E-07	1.75E-06	13115.62234	 
ACTN4	1.14106905	0.348556066	0.439754292	10147.90555	 	-1.131228368	0.60514874	0.754492317	11611.2497	 	-1.433254036	0.001942155	0.005198967	14696.93708	 
MATN2	3.986345607	6.43E-06	2.25E-05	15279.60641	 	1.282197521	0.601541868	0.751976744	15279.60641	 	-1.506020865	0.10160526	0.16633238	21783.85262	 
TUBB	-1.528007502	0.109707168	0.164233632	16813.97441	 	-3.502124509	0.003078714	0.01748308	44172.27419	 	-1.609716612	0.028310433	0.055482775	17740.89837	 
MYL9	4.881556902	4.08E-07	1.71E-06	4826.958903	 	1.170024045	0.745484841	0.851329821	4826.958903	 	-1.381476117	0.205499131	0.297981712	6889.957329	 
SCARB2	2.365403228	2.79E-12	2.29E-11	7581.17918	 	-1.771808397	0.006385622	0.031078609	13702.05672	 	-2.298730032	2.70E-16	5.34E-15	17615.9788	 
PDPN	-1.431572063	0.527509954	0.616381126	839.6394329	 	-2.932716958	0.091900613	0.224481271	3387.804511	 	-2.299606213	0.06092766	0.107817062	1508.845916	 
CHST3	1.234638233	0.362200805	0.453533006	1088.526117	 	-2.064948633	0.054365608	0.1546881	2494.16695	 	-2.02945417	0.000194667	0.000648336	2331.423466	 
SPTAN1	-1.326708175	0.044394171	0.074398721	17246.62024	 	1.520619649	0.078620155	0.200724142	12928.77983	 	-1.202492777	0.112009591	0.18020751	15618.07217	 
YWHAZ	1.415155305	0.009870265	0.019364048	15307.89732	 	-2.114264915	0.001043378	0.00758978	33228.23659	 	-1.237183396	0.055291888	0.099068314	19038.14755	 
TIMP1	1.292437712	0.357748208	0.448943348	5151.346384	 	-6.841503486	1.34E-05	0.000231514	48707.33562	 	-2.645146502	2.02E-05	8.24E-05	15249.52393	 
CAP1	2.60132072	8.52E-14	8.44E-13	8063.138377	 	-1.254271145	0.298300182	0.493170564	10227.4649	 	-2.141096031	5.95E-13	7.74E-12	17443.9519	 
P4HB	-1.104855679	0.506234028	0.596786298	12796.55017	 	-3.404951244	1.32E-06	3.62E-05	41255.42667	 	-1.233992965	0.089249179	0.149198086	14307.93811	 
DDX17	2.669571671	4.45E-11	3.14E-10	37471.64415	 	3.10624309	6.77E-06	0.000134479	37471.64415	 	2.266400695	2.81E-11	2.88E-10	37471.64415	 
CD81	3.990075481	2.52E-16	3.36E-15	13962.86961	 	-1.187229761	0.544473602	0.708948635	16746.59736	 	-1.671982864	0.000220015	0.000725859	23538.7373	 
PMP2	4.541530522	0.018034259	0.033309709	5702.365138	 	1.353379213	0.596543057	0.748080451	5702.365138	 	-2.50493903	0.058834167	0.104642978	12998.97282	 
MMP3	-2.316268851	0.125183569	0.184253299	144.1944178	 	-4.481820164	0.01913437	0.07160257	556.776747	 	-2.135549093	0.078457633	0.133777264	130.3700582	 
FOSL2	2.151964624	4.15E-05	0.000128847	3883.298718	 	-1.781847512	0.063438296	0.1726813	7211.652725	 	-1.239237316	0.16347891	0.246441856	4860.137761	 
ABCB5	3.145443867	0.019903096	0.036445311	39.38941435	 	-1.51003913	0.51238212	0.683999405	95.59998683	 	-5.445598569	1.45E-05	6.04E-05	348.3198953	 
MEGF8	-1.539694304	0.024354237	0.043619016	4504.134725	 	-1.099160758	0.766659451	0.865270283	3211.298584	 	-1.340843308	0.06312341	0.111123365	3912.783055	 
MSN	-1.338749931	0.012198527	0.023434268	11941.36571	 	-2.57557928	1.89E-06	4.82E-05	23431.01498	 	-2.180599639	5.06E-16	9.67E-15	19506.06553	 
GFRA1	2.490885086	0.016188868	0.030314024	2988.008675	 	-1.11211767	0.847916924	0.912769874	3433.34862	 	-2.072104573	0.017749199	0.03700555	6548.904502	 
MAP1A	-3.938264744	3.60E-09	2.02E-08	5881.556869	 	-2.545272473	0.013534263	0.055307562	4007.451225	 	-2.125175885	7.77E-05	0.000282481	3125.340937	 
RCAN1	4.516333627	6.49E-09	3.51E-08	4920.617941	 	2.198655801	0.058540294	0.163157788	4920.617941	 	-1.851307806	0.003801074	0.009416743	9159.397816	 
COL12A1	-3.913946052	3.46E-05	0.000108666	33987.61541	 	-4.557405314	0.002556243	0.015175471	48738.86299	 	-2.11502303	0.005247333	0.01259345	17775.08978	 
LAMC1	-1.204445841	0.456086441	0.547695306	15276.30047	 	-1.656196864	0.210054793	0.394253582	22087.93849	 	-2.748842255	7.77E-07	4.05E-06	35695.56134	 
TMBIM6	2.366919159	2.44E-10	1.57E-09	10393.24202	 	-1.88815618	0.005892081	0.029183313	20144.71857	 	-2.203067801	1.99E-12	2.43E-11	23190.72733	 
TUBA1A	1.079631785	0.732917421	0.798687191	8225.564374	 	-1.40581241	0.353584945	0.547671079	12209.76535	 	-1.831029518	0.001038727	0.00296812	15645.54393	 
FAM20C	-4.069038336	0.000119318	0.000340946	4964.111959	 	-9.430861086	3.24E-05	0.000467627	16902.85252	 	-3.206625156	8.23E-05	0.00029786	3848.656869	 
ITPR3	1.471964645	0.069363998	0.110226104	7644.541648	 	3.262287248	0.000740221	0.005762134	7644.541648	 	1.476182063	0.026065186	0.051538956	7644.541648	 
S100A6	6.983575778	4.91E-22	1.17E-20	16315.04681	 	1.586855133	0.165669911	0.334330998	16315.04681	 	1.106241386	0.542120244	0.645790806	16315.04681	 
HDLBP	-1.483700119	0.003687845	0.007944905	15840.42393	 	-3.373722979	1.32E-07	5.76E-06	37272.99657	 	-1.53419038	0.000135133	0.000466025	16383.47447	 
AKAP12	-3.599452208	6.71E-09	3.62E-08	9910.244477	 	-4.096967897	9.75E-05	0.001154962	12308.10086	 	-4.916987075	1.71E-18	4.44E-17	13625.16078	 
COL18A1	1.973448429	0.093882985	0.143651558	3785.171763	 	2.432314727	0.123490554	0.275290196	3785.171763	 	2.564565489	0.004034267	0.009927189	3785.171763	 
QKI	1.884424848	0.005373893	0.011170869	7818.562525	 	-1.242490208	0.559046872	0.7206688	9989.610057	 	-2.176827687	3.16E-05	0.000124344	17473.41568	 
ANGPTL2	1.132222654	0.79150309	0.84759267	3406.115455	 	-3.023966455	0.074055832	0.19231259	17959.64286	 	-1.410939795	0.359149864	0.467490447	5468.646471	 
ATP1A1	1.066533077	0.765154192	0.826003104	10742.05504	 	-1.309188611	0.44693542	0.631570526	14531.45924	 	-1.281332938	0.161864682	0.244406837	13985.78695	 
